classification,trader_days,median_daily_pnl,mean_daily_pnl,profitable_day_rate,loss_day_rate,pnl_10th_pct,median_trade_count,median_trade_size_usd,median_long_ratio
Extreme Fear,160,218.377,4619.439,0.6,0.194,-4146.467,50.5,2315.63,0.495
Fear,630,107.893,5328.818,0.605,0.102,-2.217,26.0,1752.677,0.514
Neutral,376,167.552,3438.619,0.622,0.112,-5.949,29.5,1704.405,0.49
Greed,648,158.215,3318.101,0.611,0.08,0.0,25.0,2052.535,0.465
Extreme Greed,526,418.32,5161.923,0.683,0.07,0.0,31.5,2003.48,0.469
